city_key,city,dep_template_id,dep_stage_count_total,dep_active_stage_count,dep_stage_keys,dep_stage_names,dep_active_stage_names,dep_stage_mapping_status,dep_topout_stage_key,dep_registration_stage_key,dep_n_release_steps,dep_share_drawable_at_topout,dep_final_retained_share,dep_topout_status,dep_final_retained_status,dep_attribute_layer,dep_stage_ratio_definition,dep_source_file,dep_source_workbook,dep_mapping_version
万宁,万宁,4stage_Mcost,4,4,stage_1|stage_2|stage_3|stage_4,主体|装修|竣备|确权,主体|装修|竣备|确权,complete_named_milestones,stage_1,stage_4,4,0.3,0.625,cumulative_same_denominator_stage_shares,terminal_stage_share:within_cohort_amount_share,expert_calibrated_operational_proxy_pending_source_mapping,monthly-revenue stage ratio or within-cohort amount share; not automatically a policy percentage,external/Modelling Dep/41_Cities_Dep/city_catalog.json,data/pmc_data.xlsx,dep-operational-h1-v1
上海,上海,4stage_Mcost,4,1,stage_1|stage_2|stage_3|stage_4,主体|装修|竣备|确权,竣备,partial_named_milestones,,,1,,,not_estimable:topout_stage_name_unmapped,not_estimable:registration_stage_name_unmapped,expert_calibrated_operational_proxy_pending_source_mapping,monthly-revenue stage ratio or within-cohort amount share; not automatically a policy percentage,external/Modelling Dep/41_Cities_Dep/city_catalog.json,data/pmc_data.xlsx,dep-operational-h1-v1
上饶,上饶,4stage_Mcost,4,2,stage_1|stage_2|stage_3|stage_4,主体|装修|竣备|确权,竣备|确权,partial_named_milestones,,stage_4,2,,0.5,not_estimable:topout_stage_name_unmapped,terminal_stage_share:within_cohort_amount_share,expert_calibrated_operational_proxy_pending_source_mapping,monthly-revenue stage ratio or within-cohort amount share; not automatically a policy percentage,external/Modelling Dep/41_Cities_Dep/city_catalog.json,data/pmc_data.xlsx,dep-operational-h1-v1
东方,东方,4stage_Ncost,4,4,stage_1|stage_2|stage_3|stage_4,主体|竣备|阶段3|阶段4,主体|竣备|阶段3|阶段4,partial_named_milestones,stage_1,,4,0.5,,cumulative_same_denominator_stage_shares,not_estimable:registration_stage_name_unmapped,expert_calibrated_operational_proxy_pending_source_mapping,monthly-revenue stage ratio or within-cohort amount share; not automatically a policy percentage,external/Modelling Dep/41_Cities_Dep/city_catalog.json,data/pmc_data.xlsx,dep-operational-h1-v1
东莞,东莞,5stage_Pcost,5,5,stage_1|stage_2|stage_3|stage_4|stage_5,阶段1|阶段2|竣备|阶段4|阶段5,阶段1|阶段2|竣备|阶段4|阶段5,partial_named_milestones,,,5,,,not_estimable:topout_stage_name_unmapped,not_estimable:registration_stage_name_unmapped,expert_calibrated_operational_proxy_pending_source_mapping,monthly-revenue stage ratio or within-cohort amount share; not automatically a policy percentage,external/Modelling Dep/41_Cities_Dep/city_catalog.json,data/pmc_data.xlsx,dep-operational-h1-v1
东营,东营,5stage_Pcost,5,5,stage_1|stage_2|stage_3|stage_4|stage_5,阶段1|主体|竣备|竣备|阶段5,阶段1|主体|竣备|竣备|阶段5,partial_named_milestones,stage_2,,5,0.5,,cumulative_same_denominator_stage_shares,not_estimable:registration_stage_name_unmapped,expert_calibrated_operational_proxy_pending_source_mapping,monthly-revenue stage ratio or within-cohort amount share; not automatically a policy percentage,external/Modelling Dep/41_Cities_Dep/city_catalog.json,data/pmc_data.xlsx,dep-operational-h1-v1
中卫,中卫,4stage_Mcost,4,4,stage_1|stage_2|stage_3|stage_4,三分之二|阶段2|竣备|确权,三分之二|阶段2|竣备|确权,partial_named_milestones,,stage_4,4,,0.14545454545454545,not_estimable:topout_stage_name_unmapped,terminal_stage_share:within_cohort_amount_share,expert_calibrated_operational_proxy_pending_source_mapping,monthly-revenue stage ratio or within-cohort amount share; not automatically a policy percentage,external/Modelling Dep/41_Cities_Dep/city_catalog.json,data/pmc_data.xlsx,dep-operational-h1-v1
中山,中山,5stage_Pcost,5,4,stage_1|stage_2|stage_3|stage_4|stage_5,阶段1|阶段2|竣备|确权|阶段5,阶段1|阶段2|竣备|确权,partial_named_milestones,,stage_4,4,,1.0,not_estimable:topout_stage_name_unmapped,terminal_stage_share:monthly_revenue_stage_ratio,expert_calibrated_operational_proxy_pending_source_mapping,monthly-revenue stage ratio or within-cohort amount share; not automatically a policy percentage,external/Modelling Dep/41_Cities_Dep/city_catalog.json,data/pmc_data.xlsx,dep-operational-h1-v1
临高,临高,4stage_Mcost,4,4,stage_1|stage_2|stage_3|stage_4,主体|装修|竣备|确权,主体|装修|竣备|确权,complete_named_milestones,stage_1,stage_4,4,0.3,0.25,cumulative_same_denominator_stage_shares,terminal_stage_share:within_cohort_amount_share,expert_calibrated_operational_proxy_pending_source_mapping,monthly-revenue stage ratio or within-cohort amount share; not automatically a policy percentage,external/Modelling Dep/41_Cities_Dep/city_catalog.json,data/pmc_data.xlsx,dep-operational-h1-v1
丽水,丽水,5stage_Pcost,5,5,stage_1|stage_2|stage_3|stage_4|stage_5,阶段1|阶段2|竣备|阶段4|阶段5,阶段1|阶段2|竣备|阶段4|阶段5,partial_named_milestones,,,5,,,not_estimable:topout_stage_name_unmapped,not_estimable:registration_stage_name_unmapped,expert_calibrated_operational_proxy_pending_source_mapping,monthly-revenue stage ratio or within-cohort amount share; not automatically a policy percentage,external/Modelling Dep/41_Cities_Dep/city_catalog.json,data/pmc_data.xlsx,dep-operational-h1-v1
义乌,义乌,5stage_Pcost,5,5,stage_1|stage_2|stage_3|stage_4|stage_5,阶段1|阶段2|竣备|阶段4|阶段5,阶段1|阶段2|竣备|阶段4|阶段5,partial_named_milestones,,,5,,,not_estimable:topout_stage_name_unmapped,not_estimable:registration_stage_name_unmapped,expert_calibrated_operational_proxy_pending_source_mapping,monthly-revenue stage ratio or within-cohort amount share; not automatically a policy percentage,external/Modelling Dep/41_Cities_Dep/city_catalog.json,data/pmc_data.xlsx,dep-operational-h1-v1
乐东,乐东县,4stage_Mcost,4,4,stage_1|stage_2|stage_3|stage_4,主体|装修|竣备|确权,主体|装修|竣备|确权,complete_named_milestones,stage_1,stage_4,4,0.3,0.625,cumulative_same_denominator_stage_shares,terminal_stage_share:within_cohort_amount_share,expert_calibrated_operational_proxy_pending_source_mapping,monthly-revenue stage ratio or within-cohort amount share; not automatically a policy percentage,external/Modelling Dep/41_Cities_Dep/city_catalog.json,data/pmc_data.xlsx,dep-operational-h1-v1
乐山,乐山市,5stage_Pcost,5,1,stage_1|stage_2|stage_3|stage_4|stage_5,阶段1|阶段2|竣备|确权|阶段5,阶段1,partial_named_milestones,,,1,,,not_estimable:topout_stage_name_unmapped,not_estimable:registration_stage_name_unmapped,expert_calibrated_operational_proxy_pending_source_mapping,monthly-revenue stage ratio or within-cohort amount share; not automatically a policy percentage,external/Modelling Dep/41_Cities_Dep/city_catalog.json,data/pmc_data.xlsx,dep-operational-h1-v1
九江,九江,4stage_Ncost,4,4,stage_1|stage_2|stage_3|stage_4,主体|装修|竣备|确权,主体|装修|竣备|确权,complete_named_milestones,stage_1,stage_4,4,0.2,1.0,cumulative_same_denominator_stage_shares,terminal_stage_share:within_cohort_amount_share,expert_calibrated_operational_proxy_pending_source_mapping,monthly-revenue stage ratio or within-cohort amount share; not automatically a policy percentage,external/Modelling Dep/41_Cities_Dep/city_catalog.json,data/pmc_data.xlsx,dep-operational-h1-v1
