city_key,city,source_id,basis_category,multiplier_or_floor,release_trigger_category,schedule_form_category,intermediate_steps_category,terminal_condition_category,final_retained_5pct,extra_condition_after_first_registration,n_release_steps,share_drawable_at_topout,final_retained_share,n_release_steps_status,share_drawable_at_topout_status,final_retained_share_status,evidence_excerpt,full_policy_text_used,source_file,source_sheet,dep_template_id,dep_stage_count_total,dep_active_stage_count,dep_stage_keys,dep_stage_names,dep_active_stage_names,dep_stage_mapping_status,dep_topout_stage_key,dep_registration_stage_key,dep_n_release_steps,dep_share_drawable_at_topout,dep_final_retained_share,dep_topout_status,dep_final_retained_status,dep_attribute_layer,dep_stage_ratio_definition,dep_source_file,dep_source_workbook,dep_mapping_version
万宁,万宁,wanning-3,approved construction cost,,successive inspection stages,drawdown ceiling,specified but count unavailable,condition beyond first registration,True,True,,,0.05,not explicitly countable from retained excerpt,not explicitly parseable from retained excerpt,manual 5% retained flag,监管额度 第十五条 商品房预售资金监管额度以项目建筑、安装、装修和区内配套建设等成本费用（含税）等合同约定费用以及项目正常支出费用等综合确定，监管额度须在商品房预售资金监管协议中载明 | 监管账户内的预售资金，并启动应急措施，协调相关部门监督监管账户内资金使用： 1.房地产开发企业存在违法违规行为导致工程停工的 | 完成房屋所有权首次登记后，解除资金监管,True,policy_identification_filled.xlsx,City_audit,4stage_Mcost,4,4,stage_1|stage_2|stage_3|stage_4,主体|装修|竣备|确权,主体|装修|竣备|确权,complete_named_milestones,stage_1,stage_4,4,0.3,0.625,cumulative_same_denominator_stage_shares,terminal_stage_share:within_cohort_amount_share,expert_calibrated_operational_proxy_pending_source_mapping,monthly-revenue stage ratio or within-cohort amount share; not automatically a policy percentage,external/Modelling Dep/41_Cities_Dep/city_catalog.json,data/pmc_data.xlsx,dep-operational-h1-v1
上海,上海,shanghai-1,presale proceeds,,no intermediate steps,找不到/未明确,none specified,other / unclear,False,False,0.0,,,explicit no-intermediate-steps label,not explicitly parseable from retained excerpt,not explicitly parseable from retained excerpt,上海市 全额监管 不涉及、按用途支付 第三方账户（政府名下公司）监管 本项目建设而发生的工程建设费用 (含投标保证金)、相关规费、税费、开发贷款、人工成本、面积补偿(如有)、营销费(含前期营销欠款)、管理费税金、物业维修基金、退房款、营销工抵款、工抵房实收现金无证销售意向金退款、改造费等，不得挪作他用。 无政府发文，但已根据政府要求签订四方管理协议（项目公司、政府、监管银行、第三方监理） 竣备后解冻 上海市住房保障和房屋管理局关于印发《上海市商品房销售方案备案管理暂行规定》的通知 各区（县）房管局、浦东新区建交委、各房地产交易中心、各房地产开发企业： 根据国家和本市相关法规，我局制订了《上海市商品房销售方案备案管理暂行规定》，现印发给你们，请遵照执行。 特此通知。 上海市住房保障和房屋管理局 二○○九年六月三十日 上海市商品房销售方案备案管理暂行规定 为规范商品房销售行为，维护当事人的合法权益，根据《城市房地产开发经营管理条例》、《上海市房地产登记条例》、《上海市房地产转让办法》、《商品房销售管理办法》，特制订本规定。 第一条（商品房销售方案备案） 房地产开发企业应当按照规定及时销售商品房，并应当按照土地出让合同及规划批准的范围，制订商品房销售方案，明确上市销售进度，确定商品房项目中企业保留自有的房地产和用于销售的商品房，向房屋管理部门备案。 第二条（商品房销售方案内容） 商品房销售方案应包括但不限于以下内容： 1、商品房项目的基本情况，包括项目名称、坐落，土地用途、项目总规模，容积率、绿地率等规划参数，前期物业管理服务合同，业主管理公约，业主共有房地产、商业配套设施和公益性公,True,policy_identification_filled.xlsx,City_audit,4stage_Mcost,4,1,stage_1|stage_2|stage_3|stage_4,主体|装修|竣备|确权,竣备,partial_named_milestones,,,1,,,not_estimable:topout_stage_name_unmapped,not_estimable:registration_stage_name_unmapped,expert_calibrated_operational_proxy_pending_source_mapping,monthly-revenue stage ratio or within-cohort amount share; not automatically a policy percentage,external/Modelling Dep/41_Cities_Dep/city_catalog.json,data/pmc_data.xlsx,dep-operational-h1-v1
上饶,上饶,shangrao-3,presale proceeds,,no intermediate steps,找不到/未明确,none specified,condition beyond first registration,False,True,0.0,0.15,,explicit no-intermediate-steps label,explicit percentage near 封顶; midpoint used for a stated range,not explicitly parseable from retained excerpt,监管额度 重点监管资金额度不得低于预售项目楼栋完成房屋初始登记并达到购房人可单方办理房屋转移登记条件所需资金，具体标准由各市县按实际测算标准确定 | 监管账户内的预售资金已达到监管比例并完成五方验收后，开发企业可申请拨付监管账户内50%的预售资金 | 完成所有权初始登记并达到购房人可单方办理转移登记的条件，可申请解除预售资金监管,True,policy_identification_filled.xlsx,City_audit,4stage_Mcost,4,2,stage_1|stage_2|stage_3|stage_4,主体|装修|竣备|确权,竣备|确权,partial_named_milestones,,stage_4,2,,0.5,not_estimable:topout_stage_name_unmapped,terminal_stage_share:within_cohort_amount_share,expert_calibrated_operational_proxy_pending_source_mapping,monthly-revenue stage ratio or within-cohort amount share; not automatically a policy percentage,external/Modelling Dep/41_Cities_Dep/city_catalog.json,data/pmc_data.xlsx,dep-operational-h1-v1
东方,东方,Dongfang-3,approved construction cost,with multiplier or floor,successive inspection stages,drawdown ceiling,specified,condition beyond first registration,True,True,2.0,0.5,0.05,numbered clauses in evidence excerpt,explicit percentage near 主体结构封顶; midpoint used for a stated range,manual 5% retained flag,监管额度后，房地产开发企业可以使用规定留存的预售监管资金额度以外的其他预售资金，优先用于本项目工程有关建设 | 完成房屋所有权首次登记后终止,True,policy_identification_filled.xlsx,City_audit,4stage_Ncost,4,4,stage_1|stage_2|stage_3|stage_4,主体|竣备|阶段3|阶段4,主体|竣备|阶段3|阶段4,partial_named_milestones,stage_1,,4,0.5,,cumulative_same_denominator_stage_shares,not_estimable:registration_stage_name_unmapped,expert_calibrated_operational_proxy_pending_source_mapping,monthly-revenue stage ratio or within-cohort amount share; not automatically a policy percentage,external/Modelling Dep/41_Cities_Dep/city_catalog.json,data/pmc_data.xlsx,dep-operational-h1-v1
东莞,东莞,Dongguan-2,approved construction cost,with multiplier or floor,named administrative certificates,retained balance,specified but count unavailable,other / unclear,False,False,,0.85,,not explicitly countable from retained excerpt,explicit percentage near 主体结构; midpoint used for a stated range,not explicitly parseable from retained excerpt,"监管额度(监管额度=项目建筑面积�本市房屋建筑工程造价单价�120%)及工程预留资金 | 监管账户内仍有资金剩余的，可凭已接入“东莞市商品房预售款监管系统”的银行出具的现金保函，直接置换同等额度的商品房预售款监管资金（不含工程建设保证金） | 完成房屋所有权首次登记前,商业银行不得擅自扣划,设立子公司的房地产开发企业,集团公司不得抽调,只能用于购买项目建设必需的建筑材料、设备和支付项目建设的施工进度款及法定税费",True,policy_identification_filled.xlsx,City_audit,5stage_Pcost,5,5,stage_1|stage_2|stage_3|stage_4|stage_5,阶段1|阶段2|竣备|阶段4|阶段5,阶段1|阶段2|竣备|阶段4|阶段5,partial_named_milestones,,,5,,,not_estimable:topout_stage_name_unmapped,not_estimable:registration_stage_name_unmapped,expert_calibrated_operational_proxy_pending_source_mapping,monthly-revenue stage ratio or within-cohort amount share; not automatically a policy percentage,external/Modelling Dep/41_Cities_Dep/city_catalog.json,data/pmc_data.xlsx,dep-operational-h1-v1
东营,东营,Dongying-3,approved construction cost,,verified physical milestones,retained balance,specified but count unavailable,other / unclear,False,False,,0.3500000000000001,,not explicitly countable from retained excerpt,explicit percentage near 主体结构封顶; midpoint used for a stated range,not explicitly parseable from retained excerpt,监管额度、违约责任等内容，协议主要内容要在预售方案中明确并在预售合同中体现 | 监管账户内预售资金未达到既定监管额度时，预售人需通过监管系统向监管部门提交退款申请，监管部门自受理之日起1个工作日内完成审核 | 完成房屋所有权首次登记后终止,True,policy_identification_filled.xlsx,City_audit,5stage_Pcost,5,5,stage_1|stage_2|stage_3|stage_4|stage_5,阶段1|主体|竣备|竣备|阶段5,阶段1|主体|竣备|竣备|阶段5,partial_named_milestones,stage_2,,5,0.5,,cumulative_same_denominator_stage_shares,not_estimable:registration_stage_name_unmapped,expert_calibrated_operational_proxy_pending_source_mapping,monthly-revenue stage ratio or within-cohort amount share; not automatically a policy percentage,external/Modelling Dep/41_Cities_Dep/city_catalog.json,data/pmc_data.xlsx,dep-operational-h1-v1
中卫,中卫,Zhongwei-3,approved construction cost,,verified physical milestones,drawdown ceiling,specified,other / unclear,False,False,5.0,,,explicit Chinese count in evidence excerpt,not explicitly parseable from retained excerpt,not explicitly parseable from retained excerpt,监管额度内资金，银行机构开展保函置换预售监管资金业务需要按照《中国银保监会办公厅 住房和城乡建设部办公厅 中国人民银行办公厅关于商业银行出具保函置换预售监管资金有关规定的通知》（银保监办发〔2022〕104号）文件要求办理 | 监管账户内能确保项目竣工交付使用所需要的工程建设资金 | 累计申请使用重点监管资金的比例不超过45％ | 完成不动产首次登记前进行预售，由购房人按商品房买卖合同约定支付的全部购房款（包括定金、首付款、一次性付款、银行按揭贷款、住房公积金贷款或其他方式的付款等）,True,policy_identification_filled.xlsx,City_audit,4stage_Mcost,4,4,stage_1|stage_2|stage_3|stage_4,三分之二|阶段2|竣备|确权,三分之二|阶段2|竣备|确权,partial_named_milestones,,stage_4,4,,0.1454545454545454,not_estimable:topout_stage_name_unmapped,terminal_stage_share:within_cohort_amount_share,expert_calibrated_operational_proxy_pending_source_mapping,monthly-revenue stage ratio or within-cohort amount share; not automatically a policy percentage,external/Modelling Dep/41_Cities_Dep/city_catalog.json,data/pmc_data.xlsx,dep-operational-h1-v1
中山,中山,Zhongshan-2,approved construction cost,,successive inspection stages,retained balance,specified,5% retained,True,False,4.0,0.95,0.05,explicit Chinese count in evidence excerpt,explicit percentage near 封顶; midpoint used for a stated range,manual 5% retained flag,监管额度是专用账户中确保项目商品房首次登记并交付使用所需的资金额度，由市、镇街住房城乡建设部门根据商品房项目建设工程造价、施工合同金额以及项目交付使用条件等因素确定 | 监管账户内资金的，应征得市住房城乡建设局的同意，未经允许不得对预售资金监管账户内的款项采取强制扣划措施 | 完成首次登记四个节点三个阶段编制《商品房预售项目用款计划书》,True,policy_identification_filled.xlsx,City_audit,5stage_Pcost,5,4,stage_1|stage_2|stage_3|stage_4|stage_5,阶段1|阶段2|竣备|确权|阶段5,阶段1|阶段2|竣备|确权,partial_named_milestones,,stage_4,4,,1.0,not_estimable:topout_stage_name_unmapped,terminal_stage_share:monthly_revenue_stage_ratio,expert_calibrated_operational_proxy_pending_source_mapping,monthly-revenue stage ratio or within-cohort amount share; not automatically a policy percentage,external/Modelling Dep/41_Cities_Dep/city_catalog.json,data/pmc_data.xlsx,dep-operational-h1-v1
临高,临高,Lingao-3,approved construction cost,with multiplier or floor,unspecified construction progress,找不到/未明确,specified,other / unclear,False,False,13.0,,,numbered clauses in evidence excerpt,not explicitly parseable from retained excerpt,not explicitly parseable from retained excerpt,监管额度 | 监管账户内的资金达到监管额度后，超出部分可由开发企业自行提取使用 | 完成房屋所有权首次登记前，商业银行不得擅自划扣,True,policy_identification_filled.xlsx,City_audit,4stage_Mcost,4,4,stage_1|stage_2|stage_3|stage_4,主体|装修|竣备|确权,主体|装修|竣备|确权,complete_named_milestones,stage_1,stage_4,4,0.3,0.25,cumulative_same_denominator_stage_shares,terminal_stage_share:within_cohort_amount_share,expert_calibrated_operational_proxy_pending_source_mapping,monthly-revenue stage ratio or within-cohort amount share; not automatically a policy percentage,external/Modelling Dep/41_Cities_Dep/city_catalog.json,data/pmc_data.xlsx,dep-operational-h1-v1
丽水,丽水,Lishui-2,approved construction cost,with multiplier or floor,unspecified construction progress,找不到/未明确,specified but count unavailable,other / unclear,False,False,,,,not explicitly countable from retained excerpt,not explicitly parseable from retained excerpt,not explicitly parseable from retained excerpt,"监管额度为预售监管资金每一支付时点至商品房交付条件具备时,剩余工程造价的130% | 完成竣工验收备案止",True,policy_identification_filled.xlsx,City_audit,5stage_Pcost,5,5,stage_1|stage_2|stage_3|stage_4|stage_5,阶段1|阶段2|竣备|阶段4|阶段5,阶段1|阶段2|竣备|阶段4|阶段5,partial_named_milestones,,,5,,,not_estimable:topout_stage_name_unmapped,not_estimable:registration_stage_name_unmapped,expert_calibrated_operational_proxy_pending_source_mapping,monthly-revenue stage ratio or within-cohort amount share; not automatically a policy percentage,external/Modelling Dep/41_Cities_Dep/city_catalog.json,data/pmc_data.xlsx,dep-operational-h1-v1
