requirement,status,evidence,scope
41-city keyed data with Dep_reg,通过,n_cities=41; target=Dep_reg,Code 10.4 formal evidence and Section 5 assets
Shared RepeatedKFold 5x20 manifest,通过,rows=820; splits=100,Code 10.4 formal evidence and Section 5 assets
Parallel M0-M4 representation table,通过,"models=['M0', 'M1', 'M2', 'M3', 'M4']; fold_rows=500",Code 10.4 formal evidence and Section 5 assets
M0-only tuning and frozen RF contract,通过,tuning_scope=M0_only; runtime_hash=ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0; frozen_hash=ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,Code 10.4 formal evidence and Section 5 assets
IV3/IV4/target excluded from predictors,通过,forbidden_hits=[],Code 10.4 formal evidence and Section 5 assets
P1 820-pair Gower audit and four text distances,通过,pairs=820; summary_rows=4; gower_0_1=True,Code 10.4 formal evidence and Section 5 assets
41-city manually coded release attributes,通过,rule_rows=41; distribution_rows=19,Code 10.4 formal evidence and Section 5 assets
H1 policy and Dep-operational concordance layers,通过,"rank_pairs=6; layer_counts={'policy_observed': 3, 'dep_operational': 3}; policy_missing={'n_release_steps': 21, 'share_drawable_at_topout': 18, 'final_retained_share': 25}",Code 10.4 formal evidence and Section 5 assets
41-city Dep operational H1 bridge,通过,"rows=41; coverage={'dep_n_release_steps': 41, 'dep_share_drawable_at_topout': 17, 'dep_final_retained_share': 21}; mapping_version=dep-operational-h1-v1",Code 10.4 formal evidence and Section 5 assets
No legacy matrix consumer for X1-X10,通过,"legacy_consumers=[]; authoritative=['run_08_reviewer_tables.py', 'run_11_pca_h1.py']",Code 10.4 formal evidence and Section 5 assets
Removed PCA products do not enter Section 5,通过,legacy_outputs_present=[],Code 10.4 formal evidence and Section 5 assets
H2 paired deltas and rank agreement,通过,paired_rows=4; rank_pairs=10,Code 10.4 formal evidence and Section 5 assets
B0-B1-B2 incremental block comparison,通过,"models=['B0', 'B1', 'B2']; delta_rows=3",Code 10.4 formal evidence and Section 5 assets
Exploratory SHAP boundary and provenance,通过,status=ok; interaction_values=False; hash=ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,Code 10.4 formal evidence and Section 5 assets
LPR level sensitivity,通过,"rates=[1.0, 1.5, 2.0, 3.0]; pure_multiplier=True",Code 10.4 formal evidence and Section 5 assets
Section 5 Table 5-10 and Figure 3-6 asset bundle,通过,"tables=['descriptive_statistics.csv', 'h1_attribute_distribution.csv', 'h1_rank_concordance.csv', 'p1_discordance_summary.csv', 'tab_block_complexity.csv', 'tab_representation_contrast.csv']; figures=['fig_delta_r2_distributions.png', 'fig_p1_text_rule_distance.png', 'fig_rank_displacement.png', 'fig_shap_exploratory_bar.png']",Code 10.4 formal evidence and Section 5 assets
Appendix Figure A1 retained-variable correlation bundle,通过,files=7; n=41; variables=7; panel_a_stars=True; panel_b_underlying_spearman_stars=True; panel_b_star_color=white,Code 10.4 formal evidence and Section 5 assets
Appendix Table A1-A5,通过,appendix_ok=True,Code 10.4 formal evidence and Section 5 assets
Interpretive scope notes,通过,predictive/measurement-validity/attribution boundary notes present,Code 10.4 formal evidence and Section 5 assets
